Timestamp,1. What best describes your role?,2. Do you currently have an analytics department/team in your organisation?,"3. How many different vendors do you use for all of your marketing activities? (events, PR, influencers, social, media etc.)","4. How many different data sources/categories do you currently use to assess marketing performance? (Social, PR, Events, Ads etc.)",5. How often do you request to receive reports from your vendors?,"6. How taxing do you find the compilation of monthly, quarterly, annual reports that combine multiple data points from different vendors to get a holistic view of performance?",7. How good do you think your organization is at using multiple data sources to unlock cross-disciplinary insights (for instance comparing earned PR to paid social results)?,"8. How confident are you that you have a clear, unified view of performance and ROI across all marketing channels? (eg. events, earned media, paid spend, production)",9. Do you maintain a multi-year repository of prior performance data that you utilise to drive/benchmark/inform future strategy?,10. What is the single biggest challenge you face when trying to understand marketing performance across channels?,11. How long does it typically take to get a reliable performance view after a major campaign or quarter ends?,12. Which of the following do you currently rely on? (Select all that apply),"13. How valuable would a single, independent view combining paid, social, PR, influencer, and events etc data be for your role?",14. What would you primarily use this for?,15. What would most likely make you try or switch to a new marketing insights partner?,"16. What budget would you be willing to allocate towards a service that provides monthly reports that combine multiple data source (eg. earned, social, events, advertising) to uncover actionable insights?","17. What budget would you be willing to allocate towards a service that provides annual reports that combine multiple data source (eg. earned, social, events, advertising) to uncover actionable insights?",
,,,,,,,,,,,,,,,,,,
16/12/2025 16:27,Head of Marketing,Yes,4-6,4–6,Weekly,Extremely taxing,Not Confident,Neutral,No,Lack of unified cross-channel view,3+ weeks,"Agency reports, Excel / manual reporting",Very valuable,"Budget allocation & optimisation, Agency performance evaluation, Strategic planning","Faster insights, Clearer ROI attribution, Reduced reporting effort","$3,000 - $4,000+","$20,000–$30,000",
17/12/2025 21:32,CMO / Marketing Director,Yes,2-3,4–6,Monthly,Extremely taxing,Neutral,Not very confident,Yes,Difficulty translating data into actionable insights,1–3 days,"Internal dashboards (e.g. GA, Meta, Google Ads), BI tools (Tableau, Power BI, Looker), Excel / manual reporting",Extremely valuable,"Budget allocation & optimisation, Board / leadership reporting, Strategic planning","Faster insights, Better executive reporting, More actionable insights","$1,001 – $2,000",Would not be interested in outsourcing this,
17/12/2025 22:19,CMO / Marketing Director,No,2-3,4–6,Monthly,Taxing,Ok,Not very confident,Yes,Lack of unified cross-channel view,1–3 days,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports, BI tools (Tableau, Power BI, Looker), Market research providers (Nielsen, Kantar, etc.), Excel / manual reporting",Extremely valuable,"Board / leadership reporting, Campaign ROI measurement, Strategic planning","Clearer ROI attribution, Better executive reporting, More actionable insights","<$1,000",$5000-15000,
17/12/2025 22:38,Sponsorship manager,Yes,4-6,1–3,Monthly,Taxing,Not good at all,Not very confident,No,"Data quality, tracking and privacy constraints",3+ weeks,"Agency reports, Market research providers (Nielsen, Kantar, etc.), Excel / manual reporting",Very valuable,"Budget allocation & optimisation, Board / leadership reporting, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, Better executive reporting, More actionable insights","$2,001 - $4,000+","$15,001–$20,000",
17/12/2025 23:40,CMO / Marketing Director,No,6-10,7–10,Monthly,Taxing,Neutral,Somewhat confident,Yes,"Data quality, tracking and privacy constraints",3+ weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports, Excel / manual reporting",Moderately valuable,"Board / leadership reporting, Campaign ROI measurement, Strategic planning","Reduced reporting effort, Better executive reporting","$1,001 – $2,000",$5000-15000,
18/12/2025 07:27,Digital commm,No,4-6,4–6,Monthly,Extremely taxing,Neutral,Not very confident,Yes,Inconsistent KPIs and attribution models,3+ weeks,Agency reports,Extremely valuable,"Budget allocation & optimisation, Board / leadership reporting, Agency performance evaluation, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, Reduced reporting effort","$1,001 – $2,000","$15,001–$20,000",
18/12/2025 08:52,Senior Marketing Manager,No,4-6,4–6,Monthly,Taxing,Neutral,Neutral,No,Lack of unified cross-channel view,1–3 days,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports",Very valuable,"Budget allocation & optimisation, Board / leadership reporting, Strategic planning",Clearer ROI attribution,"$1,001 – $2,000","$15,001–$20,000",
18/12/2025 11:17,Senior Marketing Manager,Yes,1,1–3,Monthly,Taxing,Not good at all,Not very confident,No,Lack of unified cross-channel view,3+ weeks,Agency reports,Extremely valuable,Campaign ROI measurement,"Faster insights, Clearer ROI attribution, Independent / unbiased view","<$1,000",$5000-15000,
18/12/2025 13:11,Head of Marketing,No,2-3,1–3,Monthly,Somewhat taxing,Neutral,Somewhat confident,No,Difficulty translating data into actionable insights,1–2 weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports",Extremely valuable,"Budget allocation & optimisation, Board / leadership reporting, Agency performance evaluation, Campaign ROI measurement, Strategic planning","Better executive reporting, More actionable insights","<$1,000",$5000-15000,
18/12/2025 13:14,Manager,Yes,4-6,4–6,Monthly,Taxing,Neutral,Not very confident,Yes,"Data quality, tracking and privacy constraints",3+ weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports, Excel / manual reporting",Very valuable,"Budget allocation & optimisation, Board / leadership reporting, Agency performance evaluation, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, Reduced reporting effort, Better executive reporting","$1,001 – $2,000",$5000-15000,
18/12/2025 13:37,CMO / Marketing Director,No,2-3,4–6,Monthly,Somewhat taxing,Good,Neutral,Yes,"Data quality, tracking and privacy constraints",Real-time / same day,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports",Very valuable,"Budget allocation & optimisation, Board / leadership reporting, Agency performance evaluation, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, More actionable insights","$1,001 – $2,000",$5000-15000,
18/12/2025 14:53,Head of Marketing,Yes,6-10,4–6,Weekly,Extremely taxing,Not good at all,Not confident at all,No,Lack of unified cross-channel view,3+ weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports",Extremely valuable,Board / leadership reporting,Faster insights,"$1,001 – $2,000",$5000-15000,
18/12/2025 14:59,Senior Marketing Manager,No,6-10,4–6,Monthly,Taxing,Neutral,Neutral,No,Inconsistent KPIs and attribution models,3+ weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports, Market research providers (Nielsen, Kantar, etc.), Excel / manual reporting",Extremely valuable,"Budget allocation & optimisation, Board / leadership reporting, Agency performance evaluation, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, Independent / unbiased view, Reduced reporting effort, Better executive reporting, More actionable insights","$1,001 – $2,000",$5000-15000,
18/12/2025 15:58,Senior Marketing Manager,Yes,6-10,7–10,Weekly,Somewhat taxing,Ok,Not very confident,No,Difficulty translating data into actionable insights,1–2 weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports, BI tools (Tableau, Power BI, Looker), Excel / manual reporting",Very valuable,"Budget allocation & optimisation, Board / leadership reporting, Agency performance evaluation, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, Independent / unbiased view, Reduced reporting effort, Better executive reporting, More actionable insights","$1,001 – $2,000",$5000-15000,
19/12/2025 09:24,CMO / Marketing Director,Yes,4-6,4–6,Monthly,Not taxing at all,Not good at all,Neutral,Yes,Lack of unified cross-channel view,Real-time / same day,"Internal dashboards (e.g. GA, Meta, Google Ads)",Very valuable,Strategic planning,Clearer ROI attribution,"$2,001 - $4,000+","$20,001–$30,000",
19/12/2025 10:40,Performance / Growth Lead,No,4-6,1–3,Monthly,Somewhat taxing,Neutral,Neutral,Yes,Difficulty translating data into actionable insights,1–2 weeks,"Internal dashboards (e.g. GA, Meta, Google Ads), Agency reports",Very valuable,"Budget allocation & optimisation, Campaign ROI measurement, Strategic planning","Faster insights, Clearer ROI attribution, More actionable insights","$1,001 – $2,000",$5000-15000,
20/12/2025 09:27,Head of Marketing,No,4-6,7–10,Daily,Extremely taxing,Neutral,Somewhat confident,Yes,"Data quality, tracking and privacy constraints",3+ weeks,Agency reports,Very valuable,"Budget allocation & optimisation, Board / leadership reporting, Campaign ROI measurement, Strategic planning","Clearer ROI attribution, Independent / unbiased view","<$1,000",$5000-15000,
